Well_ID,Prediction_BBL,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100
72,33206258,33224048,32803432,32746756,33162652,33554747,33156712,32705209,33215463,33554029,33391276,33134829,33601709,33136463,33584058,33244748,32908107,33010607,33921276,33145816,32402660,33477861,32903205,33598374,32496583,33183762,32642328,33441098,33109799,33474543,33194441,32939881,33450469,34675833,35341493,32672173,32896344,32559830,33055085,33675677,33396988,33165016,33166181,33021254,33141775,33292227,33401211,32949535,33496825,32764857,35722747,35592103,33709304,32914181,33392290,33150561,33220143,33374801,33096720,33165694,33206796,33583877,33184273,33639050,33421674,33415320,32940353,33382580,33094692,33132471,33413053,33385315,33579968,33207682,33051184,33149123,33351833,33290925,33155813,33373594,32911069,36000264,32867775,33358283,33628946,33796151,32991789,33342651,33483356,33487442,32850401,33070593,33501550,33328792,33284491,33457760,33531820,33359721,33350355,33270910,33469707
73,35718485,35741775,36012507,36063363,35908896,35595503,35733549,36336523,35694309,35845190,35566281,35755586,35920343,35676255,35552258,35749088,36066765,35242127,35673794,35983319,35680012,35923884,35922654,36054850,35170926,35930555,35320052,35577011,36093239,36104089,35575563,35787826,35488004,35667701,35881495,35599458,35628866,35252822,35806745,36023296,35625191,35688245,35687587,35933866,35736905,35955580,35654633,35966800,35682664,35898536,35552217,35857922,35896908,35794515,35499937,35696561,35901627,35790964,35638660,35783482,35719541,35773650,35534321,35867407,35790398,35568279,35825093,35591537,35869233,35612418,35899509,35578950,35294302,35782236,35710368,35579722,36168834,35899674,35745405,35768570,35668545,35297799,35510358,35438362,36099808,36031251,35571711,35474059,35832732,36096410,35286389,35677809,35969975,35890764,35822961,35784797,35734373,35690839,35857707,36207503,35665945
74,33043395,32852987,33402997,33975468,32674398,32200862,33331756,33664668,33360305,32520701,32894532,33104925,32838398,32718072,33061870,33523938,32932488,33031781,32884102,32413547,33598657,33051719,33330454,33234131,33225790,32857855,33745914,33230074,33171740,33341429,33208576,33162358,32740541,33271145,33684234,33570032,33171486,32855617,33090333,33503833,33217190,33476934,32518204,32575120,33095040,32984286,32860503,33630435,32854277,33067495,33535641,33108510,32518267,33083909,33039726,33427641,33149459,32947399,32899722,32861387,33071224,32689871,32206873,34188789,34110744,32903418,32778254,32476291,33895150,33059117,33709223,32490386,32251454,32975307,33574815,33573264,32767995,32969488,33360339,32411692,33246666,31965206,32802191,32362343,32651159,33345041,32939503,32337749,32376640,32556807,33350202,33433175,33769072,32567956,32093299,33346686,33306687,33374863,33301299,33290248,32529872
75,41968054,41917321,42313706,42889164,41583138,41132930,42295498,42425271,42262492,41006677,41830509,41863915,41777694,41615255,41813854,42148176,42067853,41657253,41642275,41202444,42317314,42077193,42255550,42320373,41871798,41627864,42470468,41963218,42003817,42260244,41749646,42104605,41618009,42193075,42575566,41975990,42171974,41502723,41705012,42520774,42084241,42373298,41509340,41363325,42008636,42023937,41752042,42734882,41761579,42045978,42471413,41905763,41560873,42139886,41807330,42062729,42117085,41923823,41811890,41919815,42074353,41592510,41344597,43077786,42838329,41850236,41687054,41406221,42847115,41660873,42563035,41178244,40805662,41915894,42359488,42411590,41274794,41761811,42182558,41455697,42422523,40440989,41815451,41182800,41897149,42265688,41899359,41245122,41376176,41244186,41993550,42368779,42616732,41536269,41236678,42240468,42016967,42141636,42162635,42259291,41430657
76,31731345,31714073,32305274,31877526,32307414,31806356,31643003,32862904,31601015,33001623,31575369,32235744,32237461,31795341,31636409,32095085,32005042,31305759,31824650,32835846,31781924,31907221,31869845,31988096,31157250,32702353,31159218,31607004,32561748,32420316,32134614,31800183,31566896,31606615,31919582,32096400,31501280,31494195,32389474,32008349,31568852,31572018,31791463,32552816,31945779,32092149,31746817,31754000,31725485,31863732,31406182,32166542,32022692,31720724,31542720,31968646,31981680,31835576,31697785,31727066,31581729,31942052,31581086,31649131,31642655,31562237,32049936,31656600,31638194,32228751,31755290,31958524,31659495,31810086,31657307,31422969,33385995,32249266,31763892,31877238,31190728,32479538,31495979,31593059,32079662,31974846,31562889,31626795,31987319,33152337,31270218,31536753,31916139,32207396,31962457,31739076,31948665,31745695,31895105,32405535,31800118
77,27704260,27552909,28102689,27981034,27785006,27243597,27708609,28125025,27740253,27581063,27570954,27728977,27429044,27637302,27531001,27856646,27732826,27944280,27428427,27846334,28002953,27220629,27451289,27556911,28162913,27603210,28136618,27636414,27687281,27603177,27729071,27074513,27323854,27744491,28069728,28060854,27577266,27494955,28038476,27467431,27655480,27924539,27682758,27860655,27587160,27493761,27497481,28011451,27505471,27711370,28044339,27630509,27302399,27866138,27609657,28005658,27742637,27676664,27764860,27723641,27643076,27893836,27084232,27534386,27814762,27305091,27856161,27265034,27930081,27697074,27657314,27458288,27248348,27803418,27408460,27570887,28104101,27920073,28107605,27298577,27861397,27686972,27722146,27616966,27315071,27814965,27555220,27321351,27393737,27386251,27936911,27917730,27668132,27405811,27130380,27677842,27636062,27460873,27645391,27931742,27423324
78,26251280,26228649,26125381,26366235,26369109,26389489,26113242,26375338,26146484,26079849,26098695,25915679,26269075,26336164,26161072,26010434,26623592,25986249,26393603,26300441,25997623,26365059,26378132,26451150,25801399,25959515,25683321,26183327,26281007,26217233,25819903,26117212,26065570,26157950,26166502,25921580,26028858,25771081,26171324,26220953,26155814,26113295,26381579,26407081,25968954,26276216,26219715,26208201,26314404,26473481,25944822,26325861,26553206,26244356,26130075,26107692,26298706,26313257,26204792,26364669,26287966,26500005,26108729,25927845,26092965,26051849,26390525,26359073,26121258,25807801,26339559,26355553,26319101,26376997,26085616,25957357,26359015,26413813,26276048,26440970,26250858,25755909,25985638,26335020,26612087,26650971,26034722,26211639,26607719,26200933,25868941,26092285,26296941,26375518,26537556,26251163,26165538,26122135,26337988,26544809,26422069
79,24999296,24977964,24918601,24944006,25224373,25180255,24795516,25056650,24829968,24876016,24853377,24656167,24944271,25140910,24837211,24674842,25384757,24859832,25054290,25236057,24717481,24903610,24927240,25065333,24728754,24699550,24462131,24852593,24948099,24814469,24533457,24585750,24765405,24865862,24871934,24654593,24717885,24524883,25010266,24735488,24845129,24841065,25262295,25304886,24667881,24944877,24937140,24920958,25030883,25198317,24720118,24994190,25259646,25052391,24851149,24857878,25020166,25070716,25023086,25169477,25009164,25397702,24871787,24303657,24586304,24701179,25253194,25087535,24730119,24551146,24866575,25137568,25093924,25172626,24571971,24530174,25260324,25232925,25088728,25191216,25034383,24794284,24843280,25238346,25286579,25316088,24777065,25014201,25387695,24900908,24659228,24834470,24807841,25113723,25304817,24899442,24799963,24679758,24972661,25267190,25187466
80,22165515,22089546,21986107,22239914,22274393,22335029,21997137,22263924,22061440,22111661,22017627,21844257,22158268,22271533,22153307,21998349,22450548,22037411,22397402,22228751,21943932,22228917,22265716,22292845,21827247,21864228,21653381,22178477,22174286,22081453,21837381,21987243,22009558,22106968,22117316,21982394,21898498,21774765,22168811,22067192,22096305,22028881,22290298,22350337,21852511,22121226,22152630,22021624,22250238,22356705,21913189,22327714,22441259,22098880,22117662,22108940,22178895,22210348,22127775,22236414,22178921,22451086,21954945,21808056,22052649,21959115,22305069,22298721,21992225,21796966,22265111,22379523,22425188,22291268,22022457,21886167,22369360,22368289,22227105,22326819,22083545,21895724,21864612,22334052,22408678,22579344,21928517,22160011,22520287,22139090,21891961,21991815,22212714,22263155,22388415,22172018,22146799,22079681,22265234,22410752,22371691
81,23928799,23794992,23999653,24142754,23971625,23762241,23858532,24166158,23918108,23799958,23788443,23762947,23768335,23934834,23874207,23952038,24049945,24014653,23942394,23943442,23990426,23736339,23884023,23919140,24010255,23679255,23931857,23947367,23904183,23828535,23795288,23560406,23673844,23945505,24112227,24055109,23738622,23651559,24079663,23783350,23897201,23989873,23941399,24039281,23702463,23780191,23824062,24001007,23879881,24021937,24003099,23997153,23844999,23949886,23889100,24074359,23943091,23925064,23927271,23948716,23910072,24136508,23473820,23749085,24014354,23641749,24037051,23776715,23990762,23737939,24014956,23917035,23865047,24029762,23776680,23779244,24160612,24117140,24167492,23778955,23962935,23733595,23756959,23955581,23816281,24213537,23731833,23720362,23922845,23703109,23952800,23960730,23988751,23793465,23702525,23945822,23921770,23816620,23974514,24139727,23885222
