Well_ID,Prediction_BBL,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100
72,32525424,33393866,32710348,30249428,34874600,32710348,32757340,32757340,38785292,31215564,24417916,32573892,32710348,32601100,31230292,36409900,30804100,29281758,28992748,31033098,28837786,36409900,31190588,34837576,33393866,29481770,49851180,44578556,30582332,32573892,23387076,34837576,35801252,30176436,24742952,31215564,43861300,31033098,28837786,33724996,33750232,36682440,36682440,33733306,40663736,32125360,38785292,34963844,33793708,32757340,30582332,31484092,36682440,29281758,31402144,31190588,43861300,32936885,24417916,31484092,32710348,31500642,33510188,32601100,33356392,35136938,32496962,31215564,49851180,32936885,25064400,30176436,33793708,30176436,31629712,28520188,29748988,30176436,36682440,36409900,29281758,35372016,33393866,31402144,31464168,31033098,31537476,29748988,29748988,31464168,35136938,27691236,31230292,36184456,29575478,29281758,27691236,34837576,26883580,23387076,28579027
73,35152700,35384616,28122064,34091444,36377508,40707032,31909034,33105489,33857568,32484704,36360582,32876704,34091444,32876704,39309716,36073268,32202754,37504038,37504038,33209608,35983668,47205832,37504038,36137464,37591120,36377508,35079580,35079580,26014352,27370228,34164752,37501876,36137464,37464852,36420984,26773320,34164752,31206303,31465062,37764214,37591120,27370228,29832212,34256988,36021142,26773320,27045192,35337624,32803712,35983668,27691676,30990830,27045192,34752636,34164752,28122064,35756978,37501876,31206303,36021142,34598780,47205832,27045192,33209608,34029420,32376264,35228376,31206303,37999292,36360582,34164752,31909034,47205832,31206303,34256988,37464852,36420984,36360582,33857568,29510856,35201168,36352272,31909034,34598780,28122064,27370228,33700384,35201168,35983668,35756978,29510856,36420984,36137464,32109046,31206303,33817864,34256988,39037176,52478456,34091444,33817864
74,33114682,33299606,35463858,29427044,31171590,41252994,30338246,27794194,44450558,38669014,25653658,36390510,50440438,34099446,29427044,31991402,33346598,26084046,24735302,37271698,30765694,34035250,32560762,29109446,30446686,31819550,31819550,38725546,36390510,32089900,34322564,29871016,31804822,35961274,39374550,26084046,35463858,32714618,31393358,33163150,29109446,25007174,36999158,31622356,37271698,33718960,34322564,35726196,35463858,32073350,29582006,29109446,33346598,27472838,33190358,29113791,50440438,33945650,31662366,31819550,35726196,29113791,36773714,36773714,33346598,38725546,35466020,31804822,31393358,29168285,34035250,36999158,30164736,29582006,32053426,28280494,36773714,35553102,32714618,32714618,38669014,33086220,35466020,33983124,31804822,33163150,31662366,32089900,32218970,28952812,35726196,33299606,31067471,34339490,33346598,29427044,25007174,33718960,33041562,30765694,25653658
75,49826784,41447404,55381116,51026356,49753664,46583118,51026356,48516924,46294108,52438298,48703504,46294108,47050348,61879916,49272864,49426720,53983800,47050348,48785452,46583118,44506296,46294108,48105460,48334458,44184940,50747352,48491948,51095068,52438298,48531652,53711260,52438298,49753664,48374468,48516924,48765528,48931072,53102612,49875252,47477796,48374468,48931072,47477796,61879916,47550788,49272864,52438298,48516924,49798322,49272864,46876838,50431062,50011708,41719276,48105460,52175960,52673376,48931072,51095068,47158788,48838836,50011708,48374468,44992596,55381116,47883692,45825893,52138936,48374468,53983800,45825893,47477796,47158788,50011708,50058700,52265204,50657752,50695226,48531652,49875252,52265204,50657752,44184940,51034666,45880387,50695226,42365760,52438298,46583118,52178122,49753664,47883692,41719276,49902460,44992596,48931072,47550788,61879916,47158788,67152540,45825893
76,31743178,30408342,28055540,31343114,30408342,30408342,31928102,37297510,32154639,28499512,31975094,31343114,28210502,27796781,30619898,38003046,30755230,29075182,29800086,23363798,27742287,32942750,31791646,31343114,28966742,26101334,32951060,22604830,28966742,30290862,35627654,39881490,31928102,31975094,31818854,29467182,30755230,30718396,33011462,30433318,23635670,31714716,39881490,28499512,28966742,32611620,34181598,32611620,31670058,30718396,35019006,30021854,30619898,30718396,32611620,30619898,31975094,30619898,28699524,30619898,32347456,34055330,30701846,31791646,29394190,34181598,32967986,30681922,30718396,30718396,26908990,24712542,34092354,30433318,26422690,30448046,29695967,30619898,35019006,32347456,28966742,32663746,29467182,30755230,27581308,28966742,26908990,34354692,34589770,28055540,29075182,30701846,28055540,35627654,30290862,30021854,28966742,35627654,30718396,31670058,34181598
77,27219702,19437230,19758678,25909842,27823980,25727376,19112194,27146582,29568878,24551706,24269756,23057832,25727376,23687026,26096422,20189066,19437230,25767386,35358014,44545458,30495530,27295378,28487986,26178370,28419274,18840322,25909842,29531854,29568878,32830566,27146582,25498378,18840322,23976036,28427584,25727376,32830566,24269756,26194920,23273305,26158446,28427584,26096422,27268170,26323990,24943706,23687026,29531854,18840322,29658122,25276610,21577858,28427584,24870714,27451618,26323990,32830566,27191240,29658122,26819638,19758678,23976036,31376718,27268170,28444510,26096422,23057832,25172491,26158446,31376718,21899214,21899214,24870714,29568878,25767386,24943706,29658122,27146582,29831216,18840322,32774034,23218811,27404626,23273305,44545458,27191240,18840322,19112194,18081354,35358014,30495530,24870714,27823980,29531854,24176048,25498378,26096422,19758678,26665782,21899214,24870714
78,10182410,2399938,13841442,6494772,9059130,2721386,10230878,8239318,11407218,1044062,7138756,9157628,6649734,22235542,14066886,8872550,6649734,12533748,9194462,4861922,27508166,10153948,2074902,9286698,14339426,11450694,6020540,10258086,9157628,10109290,12620830,21518286,13029002,6177174,11102978,5348222,6494772,14066886,14339426,9194462,6494772,6938744,7232464,3151774,6494772,1803030,11050852,2399938,6177174,7405974,6649734,2399938,6181519,10153948,13841442,10367334,11013378,27508166,10153948,13841442,6649734,9141078,14339426,21518286,3151774,15793274,9157628,18320722,27508166,8135199,7138756,6938744,10109290,6020540,12533748,2399938,9121154,2399938,9059130,3151774,2074902,7833422,10367334,11381982,13841442,14339426,27508166,6236013,2399938,9782346,12533748,8690084,6649734,6649734,22235542,8461086,4861922,13029002,12533748,13841442,6938744
79,20504842,24661858,23780670,22943262,26059174,12397334,17554896,19052526,21109120,20736758,23351434,20431722,19516894,16503951,17461188,17728406,12125462,20553310,19209710,13474206,17261176,24163874,12722370,12125462,19950922,22943262,26059174,16503951,14862998,16817204,24389318,19516894,18457631,18783518,16817204,19463510,19516894,19012516,13043818,19052526,17554896,18457631,23780670,18228846,18783518,17554896,23780670,15670654,11366494,17836846,19170006,13043818,21489606,14862998,24389318,23351434,22854018,21335810,20104778,24163874,18228846,16503951,19480060,17836846,17461188,23351434,21773126,12722370,19463510,17554896,16342972,21704414,21109120,16972166,22816994,37830598,19463510,22856180,18228846,14862998,17461188,18457631,21729650,19381562,19443586,32557974,19950922,19209710,21773126,21425410,21729650,26059174,23116356,20916303,17554896,20689766,21712724,16499606,19381562,16558445,21712724
80,8956919,11306095,849411,9877487,7661787,7464593,7622083,11306095,9368380,8402999,849411,15216787,10164801,9877487,12615951,4122731,5269281,9941683,9877487,11568433,7235595,10164801,9561197,14511251,8883799,7915587,7622083,7833639,1174447,17095231,9368380,5424243,7647059,12841395,9825361,5913265,21010051,9032595,1495895,4951683,7235595,0,10225203,7895663,9877487,3636431,6909708,7661787,4122731,10181727,11568433,17095231,13113935,9561197,4122731,1174447,7647059,11803511,9141843,4795049,577539,8556855,6180483,14567783,12615951,4795049,7464593,10156491,11308257,7661787,3315075,1926283,9787887,7661787,5269281,9561197,4122731,1174447,26282675,577539,5010522,5010522,26282675,6180483,17095231,9368380,11568433,26282675,17095231,8402999,7833639,4122731,10156491,0,10225203,7932137,9877487,7504603,12615951,1495895,10156491
81,18669020,16947696,30722152,26807332,19499988,19893828,18640558,18900936,19876902,16393024,13348532,18744696,13348532,19589588,16621809,18595900,16621809,18115100,11638384,15625366,19893828,13027176,17373888,16320032,11207996,20981172,16320032,21018196,18744696,17176694,24928888,18595900,22826036,9530672,18853944,19589588,15625366,17681072,18268956,20981172,17176694,21018196,17334184,10289640,16947696,14663784,18853944,14663784,14507150,17545740,13348532,30004896,14668129,18115100,15719074,18595900,17373888,16393024,19876902,24223352,11207996,10886548,21515612,21944848,21515612,19937304,11638384,17773308,24223352,14668129,17176694,24279884,24223352,14668129,26807332,14663784,19273298,11638384,19937304,21944848,19273298,16621809,30722152,17216704,19537462,24928888,14507150,18268956,17545740,17359160,18744696,16393024,19893828,15719074,18595900,15625366,22826036,35994776,17644238,22826036,19080481
82,17091170,19529590,18299052,15638854,17139638,20750202,16103222,15369846,16691106,15148078,15598844,22702034,14815174,10060534,16029914,18011738,15043959,25229482,18299052,19442508,8983662,15796038,28427046,15369846,16049838,19702684,17166846,15796038,14141224,19442508,22702034,17922138,13090279,18359454,7952822,17166846,7952822,34416926,15369846,14141224,19529590,19403322,13085934,15598844,17959612,20366998,18075934,18011738,17502631,19937762,14815174,9630146,14423174,13085934,15756334,16103222,17323086,10060534,19403322,17062708,17139638,13085934,19440346,18299052,8983662,15043959,16691106,18299052,13558494,15598844,19937762,14742182,21248186,17062708,16691106,7952822,15756334,19529590,28427046,25229482,21248186,18359454,14314734,17166846,16195458,16195458,19442508,19702684,17959612,15148078,17323086,17166846,14047516,25229482,29144302,11770682,22702034,14141224,17922138,14815174,17139638
83,22232238,22159118,22159118,24544390,18231347,16911750,21108958,33568114,33568114,22159118,22417162,24843752,18699562,20937106,24581414,19455802,20289146,22643699,24581414,20289146,20937106,23217002,20937106,18988572,20510914,33568114,19455802,22836516,22280706,23500522,23217002,25891270,24670658,19956242,16911750,18070368,20779922,22643699,27843102,24670658,20510914,20897402,14449766,22203776,20897402,22417162,22464154,28492106,20779922,20897402,19883250,20937106,23152806,39557994,22159118,22280706,20937106,33568114,18988572,23063206,22280706,20922378,18070368,13093890,28492106,23440120,18699562,19282292,19188584,26389254,21832174,23063206,23500522,26389254,22643699,15201602,22836516,18544600,19956242,21832174,20739912,14449766,14449766,19282292,20289146,26116714,22836516,27786570,14771214,21170982,16911750,20897402,19564242,22203776,14124730,16590394,21207456,19564242,16590394,14771214,22159118
