Well_ID,Prediction_BBL,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100
72,31445448,30519090,28699158,34439707,34058854,24022689,33851956,32080418,31155708,26850461,40333823,33631300,33032267,30313131,29934184,36006639,37853441,37600330,30759539,40350273,33178322,31615619,29318429,32480566,31775582,31617978,36721171,26456682,28102997,28865493,33398919,27965790,29857518,41756235,24536308,30981928,28430061,32448470,33040635,28066226,34088553,26192474,33371568,38029792,33447352,28906878,32034590,38312568,32925630,29886759,31274297,23702207,25333067,38848265,37881015,33081468,35883836,28837870,30809515,32548626,33417548,33898833,36462505,33726356,31857470,35402024,31520736,31012267,38240803,27024918,40992559,29847583,25029574,24698407,35566089,36723154,30770732,24888735,30935902,31982452,30063538,37614258,39567961,33178355,29373861,31977759,37292240,30188978,36850333,29311296,30787178,35548540,35870175,30373603,36459295,27521894,29733764,27297859,33822424,33410359,31157964
73,36487216,37277376,35045005,40264505,33101468,31725083,37584299,40544072,37596990,35409072,33987853,34758744,35674644,37332476,38112189,36066088,39178380,34288877,36854185,34104764,39305761,40641778,35933119,41530023,32740455,35883984,34709338,36453110,37085744,39789871,36572401,39617136,36133075,34938735,39701529,35133521,37030068,37327408,37367040,37876071,35306646,37288844,31700294,38044561,33858715,37207617,35779967,36692066,35658779,37312524,40069911,39722169,39318022,36981471,35731031,35142164,37213673,37949376,36077379,38382686,34681584,37854017,35896015,34927714,38292144,32383098,29779222,38056027,37847313,35841239,40277413,38615144,36084497,35732623,38614991,39294144,37537270,33799061,35092165,39966648,34856439,30159759,38518528,34598767,36825683,35676058,37102254,35781714,34373820,39790480,32019589,38887125,38215485,40528004,38141187,39819259,37500308,35827867,41849555,40025084,38965891
74,38190826,39900815,39684727,39744526,39599798,48240010,37939840,38539024,38088375,39625341,37002902,37066224,38809242,43462447,36223467,41755111,36809746,36451575,35647688,40304993,42524883,34754069,34265546,38113051,39628256,39105189,37674501,37898767,38646240,41590630,42269953,34601484,39843637,38288661,48674314,42159130,37463545,35893210,36798631,35435098,38185144,35592978,36820202,41042397,39271676,36367126,39832010,37813358,40765125,35462854,35739294,34677834,39842963,39821872,37813545,40357392,39249424,35874148,36256576,35472032,35374777,33947042,34683226,40690138,41399437,48370298,45154713,37785358,38193321,42496213,37063367,34896579,33730206,41918762,34592808,35707334,33112800,34234428,37289547,47738839,35918531,36979199,37924360,38456935,39785852,36730693,38097677,34385342,34733960,36569522,37334775,35430425,37786414,38769765,35624805,38932873,37185215,35076374,45575530,38467440,38058687
75,48454102,47422097,48839142,46622861,48036344,41528448,51838543,46767350,49676072,46168375,48837094,41299553,52077084,50490759,44954383,46461589,46716124,44469907,49727257,51325528,50126247,46911947,50002357,50860154,43742427,48752075,48689515,48343948,50817983,47047000,44684129,46097768,43373147,49216433,45817502,43931054,49083769,45753791,47257179,52877707,46750092,49991902,49712862,46518452,49537225,49068924,46748730,47968775,48117713,49792529,51731419,47606972,48958448,47926465,45550883,46104998,48135206,43807376,46989848,47696857,50846935,52260435,49376003,51733646,47975893,49035739,48850631,45696626,48527500,40273625,48162424,48026515,46766175,46573080,49963529,46144732,44084188,49113984,49845939,44893054,50082885,46179480,48692238,43105794,46918499,47052792,47977563,45306168,44457061,44133269,46613132,49517501,46654395,42300530,48255219,43897874,46959008,53059815,47748494,50835668,45448114
76,36333760,36659014,36272761,39231201,38141397,33702288,39110216,38159110,35426923,32859546,38767041,36253717,37443436,37738312,34158015,35579973,38782156,39931053,38510437,40387949,35422415,36370630,37067903,35922404,34950753,33486187,33711414,35225085,41391255,36204091,35451154,36117014,36109093,36995817,35947891,35415670,34298609,33852696,35171009,37612452,37268313,37987080,35946502,36936892,34968018,32494551,33968366,40598251,40501403,40160094,36784273,34174867,36785463,41039305,36353762,36277705,37176381,34947861,37179144,37120432,36968301,40754392,35076962,34181509,35635819,37590130,35873016,33512093,36459528,32385480,39612278,36966998,33866378,37807923,37574811,40912678,36567944,36741396,36782089,35615531,35604082,33789241,40939924,40115954,38938589,38957341,39162765,38394383,37504798,35982197,35453667,39710591,37293621,37791028,39521318,34989500,36680068,35766992,35034088,38100778,37233712
77,28903481,25897445,25919366,23716674,27094818,25477439,28333397,26234924,34316625,30867685,27598314,24164456,29445859,26428718,31873797,29125572,29149676,26865006,29162122,35189034,26632807,24920896,29804352,32835048,30351697,28079462,33204716,24309887,23933316,26083192,31048961,22009884,29641983,34336921,24240005,29014546,32360652,28526768,27469441,30388336,27832905,26159836,30353506,27061038,31076241,30428333,25116272,24131123,28129844,25747980,32999213,33303417,28293177,28476379,32018804,23465784,30872641,33151816,29125786,32711916,29777510,27146978,33234631,28909767,23618997,28018977,24710016,28767029,29656052,26003705,18224937,32033394,29787632,21632478,30711391,27210459,25276681,28838600,31419595,22569595,30959268,26385487,24333123,31182967,31071146,31174951,27940342,26154188,32800343,21696347,31505198,29129816,33640779,31257121,23288201,24014937,21680144,30508725,28757481,29399183,32652259
78,8670929,10645535,11507574,0,12514069,5573016,11388650,11468053,8148002,6843200,8429889,11535115,8372780,9018555,7294071,9621911,13540793,13598816,8989508,10650544,3741329,14690661,5165585,8788880,9452090,8867066,2433251,7892753,11340677,10714460,11305737,11736691,8188390,5376452,9544771,9442892,10172872,8834103,13103075,12443229,1247778,14999691,8117820,5538776,8750672,10719063,6880548,9684879,11858133,9487816,8308136,7620619,10332277,10309339,767525,11567717,12992418,12925306,8773994,0,0,13500082,11054406,3902944,7931790,8247713,10858149,9563727,6278775,7832261,6775890,2008517,15255201,5998915,5813057,4122642,16435016,5160056,1954098,6935594,9206096,9053764,8616640,0,10620865,8274408,14920577,4686644,5200162,9094624,0,7164850,0,9674018,7034813,9758590,7756159,10053750,9192620,6365951,6959721
79,21764583,21006963,19186694,20800934,22949824,18872555,23686094,23023141,23008460,19652465,24534754,24698121,22822463,20751190,20302660,20268837,19347225,21020137,19913193,23694571,18678757,19508906,19910344,22007548,21950322,22535461,22241642,20124765,22741224,19670893,20097512,21120907,20489928,23121543,18233606,20715612,21502868,19888092,23825602,22544123,18724918,20054308,23177064,19727393,21578321,23043152,22152485,24721409,19823372,21639364,19055037,21486451,19986533,24003391,21262110,19425518,20483520,22345952,26488784,24681017,21196949,26481072,23316186,19328178,21050958,19877801,22595080,21351168,22053381,18463905,21208099,20064603,21157916,20197598,20197776,23630148,21843906,19842383,24597828,18409107,23021901,22976894,24898703,18498153,21431321,20766882,24358395,23414567,26329668,22252387,23998881,22801497,21300304,18397917,24338195,19156692,20643218,21587444,20599995,21550488,21862374
80,11944246,15607672,14294474,0,13580631,6501147,11795256,13921349,12032561,10957689,5946291,10724224,11305254,15463611,10760045,11632051,13221764,24123828,20573987,14399143,5300262,12954127,6203696,16633119,6692308,11896914,3510249,10397835,10990093,12287041,20515248,11663494,14971982,5082894,7987047,6477245,12355291,8398272,10879930,17938479,2813052,17460995,13125240,15060069,16284062,12075918,10065196,1810509,25119942,14535051,9715086,7408824,20448359,12846270,4775964,12450331,17057116,15886702,5078728,0,0,22671362,16384819,4943071,6759833,15363258,11578364,8009137,9082013,9390369,15147755,11458338,19674864,10549328,9439971,7492791,15889616,5483368,4343079,8672499,11551989,10534923,13611505,7073606,13959184,10628558,14033737,10414536,4175518,12805566,0,8382072,0,10913016,11400430,5077148,10470235,14145295,11928177,9890045,17519862
81,17840282,16534594,15428209,13221046,17004669,13617579,17696020,16574638,18445693,20549672,15334273,17063473,17998166,17710537,18536700,14019159,17674381,11010838,20085870,18500638,19346370,17591636,16788428,18043088,16370226,13914072,18177268,18618746,16833437,17764011,20340726,20533355,17943019,18193892,14302796,19446961,18134153,18145224,20457974,18184521,15445605,16112707,15045186,18845359,15187153,15570270,16936648,15273079,11923881,12389852,20342987,22069814,15352701,18609935,18381289,18643593,15513293,16848300,14590400,16409544,17113198,21627537,14762088,17792095,18778871,13209491,14430537,16750014,16742373,18893889,12539616,16703583,16799477,14797374,17193942,13157220,20028975,14671086,17256934,16102058,16424960,17807045,15495489,14502235,14920135,17635210,17314550,12072818,18021839,21284564,16797966,19118431,17071843,17186429,18656422,16038934,19189181,19981174,21271259,17171036,17576102
