Well_ID,Prediction_BBL,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100
72,30777750,26093972,31844439,23500133,34173574,26093972,29774792,27079973,28444733,27583815,29923715,49353298,25400736,40561275,34959245,25575129,27583815,26858179,30602525,33413713,36986006,29144532,27583815,24384506,34681506,26858179,33413713,32709960,28444733,40561275,33408513,29473154,24384506,44078583,30341873,27583815,24887003,29923715,20811711,36796666,24384506,28072026,31871642,30695882,36502748,32276921,24384506,49353298,24384506,30602525,35684824,28183553,32190278,26093972,30686622,30341873,28895184,29473154,30602525,36986006,40561275,33413713,28964889,26858179,36796666,35064827,33631496,33408513,29923715,28895184,26351279,32190278,28032078,33408513,37433432,30695882,36502748,34681506,19420263,25575129,37433432,17101475,33631496,41339325,32709960,28891354,27438204,34959245,29144532,34681506,27438204,33408513,26093972,32725713,26351279,28032285,31871642,34173574,42837235,34681506,29923715
73,37017447,46800972,38516618,38949657,41198942,33823512,31640433,46800972,36842223,36333328,35204586,34684430,41924521,40921203,35204586,35314736,25659960,33823512,31126700,39871193,33319670,39800882,34271775,34725851,33319670,25659960,32333669,32800354,33842554,35131051,32590976,32590976,35314736,38111339,33319670,39653410,41198942,36014489,50318280,36842223,29739830,33823512,33823512,36935579,39800882,35384229,55592995,32590976,34725851,40160289,42742445,23341172,38084136,36163413,35894313,31903333,43673129,50318280,34311723,31126700,40921203,33097876,39653410,35131051,41198942,29739830,38779668,34522014,33842554,35204586,39648210,33823512,39653410,38516618,35204586,36014489,31903333,31814826,38516618,25659960,42742445,31814826,34423250,43036363,36935579,36333328,40921203,31640433,39648210,32800354,38084136,32590976,54433084,54433084,33319670,54433084,40631457,32590976,41304524,31814826,40921203
74,32605636,35236400,51181185,30719241,30599853,42389162,44665121,43167212,28179166,28388543,38330634,45906470,38624553,35459383,27228622,30972418,33699529,28388543,30011440,34367858,38813893,28686066,28686066,30972418,44665121,29859965,35236400,30719241,32430412,43167212,28388543,31602679,35236400,21248149,27491522,26212393,35389072,18929362,29899913,29411701,34553600,25186846,30902926,31751602,32169760,34018165,34553600,36219647,43167212,34018165,51181185,26212393,30972418,29899913,38624553,36001460,22639597,42389162,43167212,29266091,34104807,51181185,30792775,18929362,30599853,30599853,36787132,30011440,22639597,21248149,39261319,34018165,25690828,33672325,34537846,26714890,34553600,43167212,18929362,29411701,37512710,35459383,31602679,29266091,30011440,29899913,36509393,28388543,34018165,44665121,29859965,33672325,26176263,22639597,32523769,37512710,29899913,30902926,38330634,32169760,33672325
75,51912646,47228868,47228868,49906862,38236372,53860610,56094142,58568329,53674867,61696171,57931563,53860610,54543409,47695553,49579629,51821519,55526656,50209935,50608051,46021900,55816402,47228868,51830778,56199724,51476769,50279428,70488194,58568329,49906862,54548609,44997838,49166975,50026250,49621050,58568329,65213479,51476769,48214869,56199724,49318449,46021900,54548609,49579629,40555159,49579629,69328284,65213479,53411817,55816402,48573101,53674867,57931563,50279428,44997838,47228868,70488194,46710025,55816402,49579629,41946607,57931563,50279428,50026250,51737422,50789512,44493856,50099785,48718711,50099785,46021900,50209935,55816402,57637644,55308470,49417213,58120902,61696171,58568329,61696171,49621050,50909689,53674867,45483273,63972131,53411817,45519403,69328284,46798532,62474221,58568329,62474221,53325174,56819720,62474221,48737753,58120902,51830778,51476769,46021900,50030080,48737753
76,34362926,35429615,32476530,35429615,37976936,30665149,39270000,32550065,29160305,29248812,34187701,46422411,20686651,20686651,31023380,36310889,31188033,28985912,32729708,33678807,32729708,40381842,35862097,35429615,31617254,34271798,39270000,40571182,33058330,32480360,30665149,29936455,31023380,47663759,32550065,31657202,33927049,40571182,34187701,33359968,26944136,31226156,51778563,47663759,38266682,34271798,47663759,24396887,40087924,33678807,33927049,34271798,38650003,27448117,34281058,32480360,31188033,40381842,39270000,32480360,33239791,32660215,30665149,28985912,33678807,33058330,38544421,32480360,28985912,27969682,31768729,27085309,37505768,41018608,35429615,44924501,44924501,27085309,38266682,32480360,29160305,29679148,27085309,31867493,44924501,27969682,29936455,32476530,44924501,31023380,38650003,31023380,31226156,52938474,31657202,24396887,51778563,35456818,35775454,35862097,40087924
77,29230916,30730087,30993138,39792492,27926321,30297605,27344521,26036981,27348351,22801543,26485245,19264877,26525193,25891371,27528206,31866880,30730087,31178880,23853902,19264877,27528206,27926321,27348351,33412412,26094146,24804446,26485245,39014442,27528206,35439173,19264877,26056024,33412412,30730087,26735483,31866880,39792492,25533140,26735483,25533140,25533140,47806465,27926321,27344521,39792492,32626740,35249833,47806465,15554642,46646554,27344521,28107782,24804446,25891371,26939321,39014442,29055692,42531750,26735483,24028295,34955914,31861680,26056024,24116802,17873429,31861680,35249833,22801543,32014352,25891371,25013823,25013823,31163126,27597698,21812126,30993138,26897900,47806465,32014352,31861680,26485245,30643445,26735483,25891371,46646554,26939321,29055692,27926321,27926321,28376882,27528206,30730087,28546798,34137990,28795040,34137990,35886599,26485245,34137990,35249833,31178880
78,10231490,23532323,5117376,265451,12163700,22290975,7094720,11325383,8418629,6311920,9108356,8418629,3316682,10149622,5028869,11993711,8348924,6014397,6891945,20793065,20015015,8345094,16250407,7736057,12867453,8528779,6533713,12163700,7037555,9108356,11993711,7939894,12862253,27647128,16439746,15138564,2812700,12179453,11644018,12862253,15138564,9108356,8225706,20015015,28807038,22290975,9795613,265451,7056597,7637293,14518568,7056597,27647128,27647128,8528779,4854476,7056597,10149622,6311920,2953874,15956488,7525766,5805019,11993711,20793065,6311920,11298179,27647128,13014925,15956488,7037555,16887173,9228533,6014397,13627314,13014925,12862253,9795613,15138564,8528779,9795613,2953874,8345094,13845500,16887173,5805019,20793065,4854476,8598272,13845500,7037555,7939894,6311920,6311920,12867453,28807038,14135246,7736057,20015015,11298179,15956488
79,20944763,16260985,14029955,26963680,27153020,22357292,26669761,16518292,20853636,10978724,39520311,19941806,19058368,18239040,23798510,24558773,22876973,23580726,18611746,17025193,31506339,18653167,25126259,20769539,19311545,14551520,23580726,19941806,22357292,19058368,19242053,24558773,39520311,18938979,30728288,17025193,17769871,15830649,34245596,39520311,22443934,27600446,16518292,15054017,34245596,18449330,31506339,14551520,24087606,20853636,16727670,18199299,33004248,24087606,24848519,23580726,17750828,18611746,22443934,24087606,17025193,15830649,26669761,39520311,18653167,34245596,17246986,20090729,20853636,22011452,22892727,18199299,24558773,24848519,20260644,15567749,23728198,15742142,19821629,27600446,25231841,31506339,13525973,24848519,16727670,30728288,7268489,16727670,23575526,18199092,22706984,23728198,18611746,15054017,24558773,22876973,17605218,17769871,18938979,15830649,17605218
80,9685599,28261147,9594471,13867094,22986432,6491664,22986432,7352582,6548829,12469034,8831564,3794852,27101236,10752288,4482978,6979875,13867094,11098127,9510375,3256225,12321562,16341281,14592673,2770790,11447820,5987822,3292355,2770790,5259128,9594471,13081423,6510706,16341281,3256225,22986432,7872738,3794852,6346054,5987822,22986432,16341281,10752288,13972676,7803033,7190166,8381003,12316362,8562464,4482978,6346054,11633562,4482978,5468506,7872738,4308585,7190166,0,12469034,5001821,9603731,6491664,5468506,6940134,7872738,5766028,13081423,6491664,3794852,6979875,6979875,4482978,3794852,0,7190166,9001480,11447820,7872738,13867094,7394003,9001480,11617809,0,7982888,7190166,8381003,6979875,7803033,0,12469034,6346054,5987822,6491664,8682641,27101236,7394003,4308585,5259128,14592673,6939927,9249722,9603731
81,17341991,21245747,14002445,14148056,15708773,15459425,21629068,9923201,15008974,15459425,23360907,21629068,12658213,14205221,16339033,17260123,16339033,23360907,12658213,12227877,18754519,27125516,21523486,14148056,14846558,20484833,19104212,20125426,16339033,17166766,19977954,14596526,20737815,20125426,12139370,18435883,10064374,20956001,23360907,13124898,16218856,15336207,3665716,27125516,23360907,19972754,15336207,14148056,19289954,19289954,23550247,18408680,12139370,12227877,13422420,23997673,16906114,14596319,15455595,15050395,15050395,21629068,14846558,19289954,3665716,10064374,21245747,16487956,17166766,16906114,11964977,27125516,12227877,10064374,14148056,15050395,16037395,23997673,14636267,27903566,13644214,17260123,15459425,16487956,19977954,16218856,16657872,19289954,10427182,19274201,18841162,15050395,21629068,20956001,3665716,13124898,12658213,18841162,9923201,12915520,11451244
