Well_ID,Prediction_BBL,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100
72,30547404,18653235,56356225,27996444,20279598,27996444,12182433,34568293,35966195,23069018,51093291,51093291,37933118,34864892,31028141,23069018,21398938,18483564,15503288,19317206,21426869,46871377,15835608,35700470,37933118,13696696,22128356,35966195,20279598,31619820,51093291,21323968,23567887,36011225,22953633,23356495,21426869,31456311,22953633,21178134,29957707,24048796,7039710,34568293,21426869,43555193,33587056,15963516,7039710,27030454,16289907,37182930,23356495,18436644,22350317,27030454,18436644,24197663,15503288,32127137,21323968,23356495,20279598,37933118,32127137,22140556,14681328,23567887,10126636,10619302,35966195,22140556,48418036,37435581,23069018,35700470,23410253,34568293,18859227,56356225,22688438,51093291,26019784,10126636,22350317,37933118,23789588,20984646,37435581,20984646,34864892,15503288,23789588,23069018,12182433,24048796,21178134,19317206,31456311,37182930,46871377
73,37114792,13607099,21248717,16694025,27852876,44002970,20264084,40748856,62923614,40154445,27745523,38701583,29521022,25426616,50122581,41432281,18024560,38701583,32587173,27994258,29521022,38694526,26846987,38187209,22530905,22402997,42533584,25050953,54985424,38023700,40748856,29521022,62923614,38023700,28324610,42578614,21248717,38694526,13690673,28707945,29255826,37595529,27966327,27891357,28324610,42578614,25004033,29255826,30616185,44500507,38187209,18024560,29636407,42578614,30356977,39650770,39650770,25884595,62923614,18024560,47775134,36525096,28917706,44500507,41973792,38694526,39650770,28695745,30616185,44002970,28324610,25884595,28917706,21248717,42578614,30765052,27852876,38187209,32587173,41973792,37595529,36525096,38701583,18453403,41135682,47775134,28917706,18749822,20264084,39650770,27994258,40748856,29521022,22857296,62923614,40748856,21248717,28917706,38023700,33597843,42267859
74,33318215,40915703,26127306,29801265,40915703,34227122,38471281,24169749,17452139,24528032,19921432,59127037,34390631,23050410,53864102,24528032,16467507,40206393,59127037,26819607,51188847,21424046,44384783,25121129,39953742,24056299,33798952,26181064,26181064,26819607,59127037,12897447,21630039,30767255,22088018,34390631,24197680,39953742,36952278,34897948,26819607,28790596,59127037,24528032,32728519,36952278,14656826,44384783,18734328,40703929,21630039,24899168,36952278,37339104,25839829,29801265,36357867,26338698,18274100,19921432,34897948,18734328,34905005,24197680,19060719,23948945,34905005,17452139,26181064,26338698,53864102,24899168,24056299,33798952,24528032,16467507,26181064,14227982,39953742,38471281,35854193,35854193,40703929,36357867,26127306,36357867,26181064,51188847,44384783,25839829,26968474,40703929,21424046,59127037,29801265,24899168,34227122,24094780,25459249,18274100,25724445
75,50631252,38943076,44132645,35919457,56095074,54652141,68501884,36373756,55490252,38943076,52210985,54652141,43651735,56050044,66955226,58228740,42212205,51540159,41369336,32266281,46103633,27123559,58016966,27207133,35587137,71177140,41068495,52210985,76440074,41407817,41261982,27207133,31969863,51540159,51703668,41510717,51703668,43440344,52218043,34765176,41407817,56050044,41482786,66955226,76440074,52210985,38737083,71177140,46103633,56095074,61291593,38737083,54652141,33780544,53670905,31541020,38943076,51111989,35919457,48080292,38943076,27123559,43873437,41407817,30210485,40363447,43152867,37234469,41510717,43651735,48302035,27207133,30703151,54142063,27123559,38567412,41369336,66955226,31969863,41407817,43494101,48080292,57519430,41369336,43037482,30210485,54948740,42680115,48302035,27207133,42434166,55784318,57519430,48302035,38943076,42212205,42772286,39401055,42212205,40363447,43873437
76,35090661,14669893,36670394,40243727,23860464,41978839,23196492,40554482,32761444,38130313,20506774,52961293,35999568,28111144,31573711,40243727,38601472,41978839,27496890,25721391,23196492,25942195,21693878,42476375,16429272,28740920,28740920,35999568,42688149,37626639,16000428,26683813,31573711,52961293,28332845,28111144,36163077,36677451,39949660,39111550,41726188,22979901,23196492,46157229,39949660,36670394,22979901,18239953,27231695,25867226,18239953,34500965,25721391,40509453,27899752,40509453,25942195,28740920,20506774,39949660,26683813,24822856,19224585,35999568,36163077,28111144,46157229,45751002,37626639,28332845,40243727,36163077,26683813,55636548,28592053,21693878,27612275,11582968,28111144,26893575,39111550,41726188,31573711,23860464,27496890,37626639,32761444,26671614,16000428,27899752,55636548,20046546,23026821,34500965,20833164,31573711,40554482,11666542,51414635,55636548,22979901
77,29649629,32689282,10988240,20280360,37247117,35068421,21698492,21698492,32185607,40309970,50195517,10988240,9721528,22891814,20501163,10559397,17961453,21242782,50195517,21242782,27098669,22171244,22458721,20086872,17585789,17585789,31236420,37247117,22171244,32689282,23151022,33160440,17538869,22458721,36285156,17585789,19381824,18419432,33283693,11284658,22670112,30130366,15392133,25122010,21790663,26132679,18419432,22055859,34802695,27098669,19381824,30558536,13783553,6141936,31236420,20529094,14605514,20859446,13783553,20387713,23151022,6141936,14605514,34508629,34508629,19381824,23151022,6225510,40309970,20086872,17961453,15065742,40309970,35113451,18419432,35068421,21230582,34802695,47520261,22171244,6225510,33670519,35113451,6225510,21230582,35068421,21242782,15392133,14937834,37247117,33283693,21790663,50195517,14605514,40309970,20859446,33160440,11284658,14937834,14605514,19381824
78,11131479,31677366,0,3940571,3994328,13667457,2010944,3180342,0,18728967,12203895,2934393,12711212,22198047,863674,17767006,1908044,13667457,15152368,0,6603860,22198047,18728967,3272513,1762209,24139268,16595300,0,0,8802262,0,3940571,11612216,1908044,0,0,0,14171132,1908044,2934393,0,15990478,17767006,0,0,4781738,18728967,0,22198047,1568722,0,0,1568722,0,3537709,0,1762209,4632871,0,0,0,11612216,14765543,15152368,3537709,0,16550271,4632871,18517193,2934393,0,6603860,12203895,4151962,3940571,15448967,4151962,1869563,21791820,24139268,6603860,0,0,18728967,6603860,10541783,14642290,0,0,2712432,36940301,2341296,3994328,2724632,0,1762209,0,12718269,8802262,0,0
79,20635973,14286232,36959947,0,18306756,12684836,6378477,215205,11374057,26054765,8572133,8741804,38506605,6052086,31296314,11845790,33643762,8947797,13042203,24270037,13878157,11266703,13042203,11515438,13878157,28233461,24270037,11073216,14286232,8947797,8572133,36959947,11374057,13878157,9405776,5591858,14137365,18306756,24270037,707872,23675626,8947797,33643762,24656862,10368168,46444795,1974584,24146784,31702541,26099794,8525213,24270037,1545740,14286232,8572133,28233461,27271500,12684836,28021687,27271500,27524151,2271002,21544880,7239190,18085013,2271002,6378477,4769897,6052086,5591858,21708389,41181861,24270037,5591858,10368168,14286232,21116710,28021687,26054765,12216926,14286232,8572133,12438887,0,24953461,11374057,21544880,5924178,24656862,36959947,1545740,24270037,13157588,31296314,12229126,8741804,27524151,24146784,20046277,6378477,24656862
80,10563566,15716632,0,1773383,3426415,3805751,0,18161054,15716632,36372388,17949280,0,0,0,11044303,0,0,3426415,0,36372388,0,0,14074377,0,0,3085181,15982358,1301650,14584455,0,18161054,36372388,0,21223907,8012606,3426415,4213825,21223907,12143299,3805751,1773383,0,0,14584455,0,0,15982358,2366480,0,7046616,18161054,15422566,3426415,295761,1773383,26887540,17451744,0,1301650,0,17949280,0,13099544,2612429,26887540,1194296,0,18161054,2156719,0,3584049,1301650,3426415,1443031,14881054,14584455,0,11044303,23571355,9973870,31109454,15716632,2144519,3805751,3426415,3085181,2969796,1301650,11472473,16027388,0,16027388,2144519,295761,0,28434198,0,17949280,14584455,4064959,0
81,17181773,0,10683166,24779261,18254190,16592077,20692584,42990595,10683166,35052405,8033308,10683166,5951576,21202663,22334839,2597886,8774926,6913968,8061239,9703388,19717751,37727661,331065,33505747,19717751,10832033,6913968,10683166,0,0,8391591,22600565,22040773,7619016,18768564,2597886,2137658,2137658,24069951,0,21499262,16592077,10202257,2924277,9588003,0,33505747,9990865,21499262,14630814,0,18254190,6913968,10202257,0,10044623,7919857,2469978,18254190,33505747,7958338,10202257,21202663,2469978,37727661,22600565,10683166,8774926,8774926,2137658,10202257,2597886,10683166,20221426,16592077,21202663,8984687,0,30189562,37727661,10202257,2469978,1315698,7919857,0,2597886,13664824,8391591,18254190,21202663,10683166,18761506,2924277,2469978,0,35052405,17662510,19717751,8033308,24567488,8061239
