Well_ID,Prediction_BBL,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100
72,28899236,36111810,28485135,28066314,26691616,29217272,28255758,30770544,30740640,23881370,28729591,28316816,26480168,27557985,29612070,28637305,27546514,21130581,28398831,30770544,28582060,33629273,29217272,28255758,28066314,30488022,26480168,28729591,23881370,28485135,24354748,28844058,23881370,27704915,29659547,29659547,29612070,29998731,27235499,27704915,29735367,28196878,29265165,28729591,27562512,29998731,29659547,30580073,25097509,27557985,27072518,27685391,27704915,28729591,26480168,29441064,26037152,25051213,27510380,26037152,29265165,32724962,27094355,29735367,29955783,29217272,29659547,29265165,32787532,29636427,27557985,28179051,28179051,27704915,29217272,25051213,25097509,25097509,28255758,23881370,28844058,26691616,32724962,29998731,34747697,28196878,26888535,30488022,28582060,30740640,25051213,26888535,29998731,28398831,28485135,29508796,25681604,26031126,26691616,24201781,31981565
73,36071281,32937961,32937961,37942560,40244471,37885354,37127829,36784115,36907412,33209197,37127829,31727297,42940796,33652214,37942589,40364849,36548366,32223258,35427803,36784115,33203172,34682425,42940796,36121335,36761988,36761988,35901637,35392928,40244471,34266400,31053415,35427803,34407544,35754105,34266400,36121335,34407544,37942589,36761988,36389317,36548366,35351096,32937961,33863661,36808472,34876960,37752118,35694640,40244471,34244564,34876960,33652214,31373827,38069691,35427803,40801318,33203172,36437210,33209197,34266400,37170776,36613110,35238360,33652214,33244509,34876960,36831592,38990377,33652214,36389317,31053415,36064431,32223258,32937961,36907412,34407544,39897007,35488861,36680842,37942560,36808472,35901637,36831592,35570876,40244471,33863661,35809351,35238360,34734558,37885354,36548366,34682425,35809351,34730030,28302626,35427803,32223258,33244509,35427803,38069691,34060580
74,33630601,32987124,29286618,29086114,33048182,35219388,34730097,33575424,40843176,34107686,33253960,30724034,32241746,31803884,33575424,29828874,33048182,36549697,34466732,33680655,29782579,35501880,29782579,32910417,37518897,28933147,32910417,34107686,33623751,32416757,33253960,28933147,29828874,31803884,37518897,32289351,37518897,32293878,31422981,29782579,32910417,31619901,32987124,37924169,32289351,33368671,31294685,33253960,32289351,32987124,36712931,32928244,31619901,29782579,35311439,35311439,34367793,40843176,28612735,40843176,35219388,37518897,32910417,32436280,32416757,28612735,32928244,33368671,33948638,31825720,34390913,32241746,30762492,30497281,30762492,30412969,32293878,34343436,31803884,34172430,34367793,33368671,33460957,34240162,31422981,35501910,30724034,35444674,32617692,34466732,36549697,34107686,31294685,36549697,32436280,33575424,30803829,32277880,33048182,34172430,33680655
75,44216265,42552528,43839624,45315761,44825826,41354181,47135361,43002421,46087544,41389493,41797198,40368243,41309698,44976577,42008645,43203356,46057670,43513908,44046621,42411384,44906972,44534302,43802164,43537912,42863544,51085781,48104561,44161088,51428840,40414538,43021944,45315761,43496081,45805052,42389548,46087574,46214676,43954335,43537912,48509833,45805052,51085781,44582194,42552528,43537912,42389548,42411384,36447610,36447610,39671778,44209415,46057670,44693350,44825826,51428840,44953457,44161088,42389548,48946303,48041992,46030338,42389548,43002421,47298595,43537912,45052396,44825826,42411384,42879542,41348156,44758094,46057670,48041992,44976577,44929100,46087544,48041992,48104561,44161088,43496081,42827410,45805052,46214676,42205565,44046621,44582194,44758094,42205565,39518811,44582194,42879542,47135361,43002421,45805052,43021944,36447610,46030338,47135361,40998633,44693350,43899089
76,34401605,35501100,36243009,32596724,35990392,36400015,38695173,38227331,35237736,30553582,39131642,26632950,35458152,31495037,38695173,33187761,38289901,33901200,31539521,35011165,36400015,33723252,34394755,33064882,37320700,31183973,35161916,31539521,31268284,32574888,35501100,34719641,36215678,40250066,36272884,33758127,34878689,35138796,33758127,31574833,33987504,36272913,33819185,33723252,32737868,34767534,34084429,34084429,35237736,34943434,33048883,31982538,34878689,31574833,35237736,30553582,35501100,35237736,35114439,35501100,36272884,35237736,31183973,26632950,30553582,33758127,35237736,39131642,30599878,35501100,31533496,34231961,41614179,36243009,34943434,29857117,38227331,32193985,31268284,35092311,33681420,31183973,34394755,32065689,35092311,33819185,34878689,31982538,34231961,33012749,32193985,33901200,35114439,38574795,26632950,35092311,31183973,33901200,34943434,34024964,31533496
77,25566428,25066023,24229705,22348796,27407832,23555727,27407832,25066023,22698319,22704344,20868974,29859996,29739619,25396784,22704344,24922951,28485524,25249252,29739619,23739711,25396784,23739711,22698319,20548562,24229705,25884464,20548562,25249252,26622976,22739656,32779002,26326739,24225177,25304498,23739711,24229705,25884464,26303619,21764701,24864071,26665924,24888075,26622976,25884464,21021940,24213706,27564838,29392154,22704344,25616482,23358808,29739619,26175989,22704344,20868974,23739711,27247265,25932357,25511250,24888075,17797773,21718405,20548562,24922951,25616482,26175989,24888075,22348796,24225177,22739656,26303619,24229705,26622976,25304498,32435943,25066023,28648757,20548562,23555727,26257135,22739656,23358808,26665924,25304498,21222444,26279263,23230512,26257135,25189787,24922951,20868974,26175989,27407832,21764701,31414890,22659860,25396784,24553519,24864071,24864071,26622976
78,17744898,16531054,18110827,17066545,15940017,19333685,18221983,17427722,15734198,13896876,17575254,15940017,17427722,19616177,9976243,16531054,17101421,17024714,17066545,19743308,19586302,18844394,16408175,12727032,17330797,14611578,16550577,16408175,13200411,14882814,18354459,18844394,18581029,19743308,18801446,22474936,14527266,21918089,12727032,14882814,15918181,19743308,15940017,15325831,14838330,19616207,15918181,20663994,14838330,17162479,15325831,18581029,17794952,19586302,17101421,18286727,21633194,21570625,13200411,16081161,24614414,18801446,15918181,14882814,18354459,17575254,20663994,19743308,16911977,14882814,18581029,18286727,18581029,18844394,19616207,17024714,15734198,13896876,9976243,20827227,19425736,14918126,16403647,21570625,15940017,22038466,17427722,20663994,14882814,17368257,17024714,13896876,17427722,21633194,17101421,17738048,18062934,15325831,19333685,13943171,17368257
79,23436086,23802015,19092103,22733729,23059445,19092103,22099363,21017019,25307365,21772349,25116924,19634359,22241765,23021985,22757733,23266442,24148921,27729654,23486140,24196397,25250159,22047231,20567977,20574002,22715902,23118910,15667431,28166124,26355182,20609314,24126793,22935682,28166124,22222242,23021985,26518415,24126793,23380909,21609369,23429236,26518415,22241765,24492634,21425386,23977915,26355182,29284548,22935682,20574002,21609369,30305602,22094835,21631205,21609369,22853667,22715902,23118910,22094835,25024873,23021985,22241765,20574002,23802015,18891599,23380909,20609314,24045647,27729654,24272217,22935682,22083364,19092103,25307365,25250159,19634359,18891599,21017019,23977915,28166124,20609314,20302766,22935682,20609314,25116924,21425386,24126793,22099363,23802015,23429236,27324382,26518415,20574002,28166124,22853667,22757733,24148921,22715902,19092103,21425386,23486140,24045647
80,16329400,14976678,17165531,13993484,23198916,20155126,11631946,18143473,13196080,14502683,13461291,17428896,15915299,11631946,14524519,14992677,16379454,15746980,13422832,19411729,12481377,18170804,16938961,11784913,13111768,18327810,20155126,15627043,16012224,20155126,16379454,16871229,16067470,16695329,18010237,16274222,17020107,19411729,20155126,18143473,18200709,18010237,11631946,14121780,15316491,20502591,16806485,8560745,12527673,15828996,14665663,11784913,14665663,15115556,14121780,16647436,16159756,14988149,12481377,11631946,13910333,16647436,20155126,19411729,16806485,13993484,15135079,18170804,15316491,20622968,16647436,11985417,16379454,16012224,20622968,15651047,12481377,16274222,18200679,20622968,17428896,20217696,14524519,13910333,18200679,13111768,15651047,15915299,18327810,18143473,15609216,20155126,13461291,17020107,18327810,17020107,20217696,13910333,16871229,18010237,17089711
81,21728962,21559318,21467032,26022530,22565093,23409800,22338523,18511330,17880940,23317749,27577424,19393046,22338523,22094891,21352321,17880940,20376241,23317749,16711096,24648058,22565093,21559318,22270791,18902190,25617258,26459000,22094891,19521342,23317749,20515118,18822395,21146543,20534641,20716053,22565093,19902245,22338523,20065225,13960307,17880940,19718262,21050609,19393046,20387712,20534641,22828458,18866878,21673785,21146543,21411786,18866878,17880940,23600271,23727373,23600271,20534641,22785510,23600271,25554689,18822395,24811292,28941537,18511330,16711096,25902153,21050609,26022530,22270791,18511330,17880940,23727373,16711096,23543035,25902153,25902153,17880940,23600271,20534641,21085485,21228558,21026605,19902245,18511330,18511330,19309895,19718262,20340107,17031508,13960307,28598478,19309895,22270791,17927235,26459000,20515118,23409800,25554689,22466154,20515118,22489274,21352321
82,21898930,20704609,20094049,26072120,22376014,22659241,21316510,22611764,22589636,25787226,17354442,26072120,20685086,21255452,26628967,21843752,18097203,20557679,19691310,21398525,20072213,21522289,23770238,21255452,25787226,21636999,22955477,23579767,22440759,22589636,25724656,20072213,26192498,21398525,23740334,21398525,22264859,21843752,18097203,21948984,25724656,21255452,18050907,21220577,25724656,21220577,21398525,23713003,21729286,23713003,22264859,18050907,20886021,19030821,25787226,21729286,23713003,22955477,20546208,20235193,26072120,21892080,20562207,20685086,22636121,21398525,19888229,19030821,21178745,22611764,16881064,21843752,26628967,27747391,21220577,19030821,22659241,17201476,25724656,20685086,21316510,19036846,21316510,21066008,21255452,20510074,21892080,26192498,23770209,21892080,22955477,21581754,22376014,18992362,22636121,22589636,20685086,22636121,24981259,23740334,21255452
